Term
if
a
A
à
À
accomplysshed
advertisements
all manner
and
are
arrived
benefit
Black White
blessed
by
By
Cathedrall
Cathedrall Church
CCCC
charity
chez
cite
Coffee-House
command
commons
Commons
Commonwealth
copies
copye
Court Old Baily
Cum priuilegio
cum privilegio
day
de l'homme
Dick's
District
dobbel hood
done
En
et
Et
excussum
Excussum
exemplaer van
famous
first
for
fourth
from
From
fynysshed
God M
Head Axe-yard
heir
his
His
Honorable
House
humble
im
Im
impriméez
in
In
incatnacyon our lord
increase
In't 
In't na't
In't nat'
is
Juxta emplar
keep
kinges
King street
l'Enseigne Sainct Claude Sauvage
les
letters
licence
license
lxxxij
Maiesties
Majesties
Majesty
Mesgissier kinges
mis-information
most
Na de
naer de copy van
na't 
near
Nederduyts over-gheset
now
Nunc demum typis excusa
of
Old Kings
order
ouer agaynste
out
out High-Dutch
par
perform'd
prevent
printing
priuiledge
Quenes Maiestie
re
Re
reasonable rates
Regiæ Maiestatis
rue
Rycharde Iugge
Sacred
se trouve
se trouvent
Se vend
shuffled
Shuffled
sic
sign
signe
Skinner-Row
sold
speciall
stiliardes signe
sur
Sur
taken
Te
Temstrete stiliardes
the
to
Tom Tell-troth
tot
Tot
Tours la Rochelle
towne
Translated
university
viij yere
was
wellfare
where
White-Fryers
White-Hall St. Barnabas's Festival
who
with
work
xxii
yarde
ye
years
yere regne
zu
