synonyme	name
[WVwv]ainaj?an [Ll]esk.*	leski
[WVwv]ainaj?an [Pp]erill.*	perilliset
[WVwv]ainaj?an [Pp]erikun.*	perilliset
[WVwv]ainaj?an?	vainaja
[Ll]eski	leski
[Ll]esken	leski
[Pp]erilliset	perilliset
[Pp]erillisten	perilliset
[Pp]erikunta	perilliset
[Pp]erikunnan	perilliset
