synonyme	name
fw	v
fv	v
w	v
é	e
è	e
ê	e
ë	e
à	a
á	a
â	a
ü	y
sson\\b	son
æ	ä
aa	å
ø	ö
qw	qv
qu	qv
kv	qv
kw	qv
Ad[.]	Adolf
Alb[.]	Albert
Alex[.]	Alexander
Alf[.]	Alfred
Alfr[.]	Alfred
And[.]	Anders
Aug[.]	August
Ax[.]	Axel
Bernh[.]	Bernhard
Chr[.]	Christian
Const[.]	Constantin
Dan[.]	Daniel
Edm[.]	Edmund
Edv[.]	Edvard
Efr[.]	Efraim
Em[.]	Emil
Er[.]	Erik
Es[.]	Esaias
Eug[.]	Eugen
Ferd[.]	Ferdinand
Fr[.]	Frederic
Frith[.]	Frithiof
Gottfr[.]	Gottfried
Gust[.]	Gustav
Henr[.]	Henrik
Hj[.]	Hjalmar
Håk[.]	Håkan
Joh[.]	Johan
Jos[.]	Josef
Konr[.]	Konrad
Magn[.]	Magnus
Ol[.]	Olof
Osc[.]	Oscar
Ph[.]	Philip
Reinh[.]	Reinhard
Rich[.]	Richard
Rud[.]	Rudolf
Sam[.]	Samuel
Th[.]	Thorvald
Vald[.]	Valdemar
Vict[.]	Victoria
Vilh[.]	Vilhelm
