Term
excusus apud
excusus
impressa typis
impressa
celeberrima vrbe
est hoc
orarium
exarata sane
se vniuersitate
impresse
a
á
à́
A
à
à
apud
atte
emprentyd
exaratus
est
finitum
completum
um
nuper
cum privilegio
direct\.
est haec oratiũcula
et se trouve [à|a]
et se vend [à|a]
ex
excusum
excudebat
fuerint
fuerunt
^I
impr
impr\.
impre
imprentyt
impress
impress\.
impressa
imp re ssa
impresse
impresso
imp re sse
impressi
impressis
impressit
impressum
impresse
impressi
impress um
impress
imp re ssum
impressus
imprime
imprimè
imprimé
imprimé
imprimè
imprimeà́
imprimeá
imprimebat
incipit
imprimebatur
imprimee
impriméez
inpressum
l'imprime
l'imprimeà́
mebat
na de copye tot
preclara
preclari
prentyt
publié
se trouve
se vend
stampata
stampato
sur l'imprime
venundantur
venundant ur
venunda tur
viduae
viduam
