Term
university of oxford.
a\\. smith and assistants.
a\\. smith \\&c.
university of oxford
edenburgh
yeomanry
yearly
westminster
ulster
trustees
treasury
sweden
suffolk
southwark
secretaries
scotia
regiment
perth
ministre
military
matross
majesty
majesties
magistrates
lieutenant
lichfield
legislature
legion
leaguer
king's
indies
india
improvement
herefordshire
guards
grenada
great
factory
expedition
edinburgh
diocese
company
commonwealth
committee
columbian
colchester
club
clergy
charlestown
cavalry
cambridgeshire
buckinghamshire
academy
