name	gender
mary	ambiguous
anna	ambiguous
emma	ambiguous
elizabeth	ambiguous
minnie	ambiguous
margaret	ambiguous
ida	ambiguous
alice	ambiguous
bertha	ambiguous
sarah	ambiguous
annie	ambiguous
clara	ambiguous
ella	ambiguous
florence	ambiguous
cora	ambiguous
martha	ambiguous
laura	ambiguous
nellie	ambiguous
grace	ambiguous
carrie	ambiguous
maude	ambiguous
mabel	ambiguous
bessie	ambiguous
jennie	ambiguous
gertrude	ambiguous
julia	ambiguous
hattie	ambiguous
edith	ambiguous
mattie	ambiguous
rose	ambiguous
catherine	ambiguous
lillian	ambiguous
ada	ambiguous
lillie	ambiguous
helen	ambiguous
jessie	ambiguous
louise	ambiguous
ethel	ambiguous
lula	ambiguous
myrtle	ambiguous
eva	ambiguous
frances	ambiguous
lena	ambiguous
lucy	ambiguous
edna	ambiguous
maggie	ambiguous
pearl	ambiguous
daisy	ambiguous
fannie	ambiguous
josephine	ambiguous
dora	ambiguous
rosa	ambiguous
katherine	ambiguous
agnes	ambiguous
marie	ambiguous
nora	ambiguous
may	ambiguous
mamie	ambiguous
blanche	ambiguous
stella	ambiguous
ellen	ambiguous
nancy	ambiguous
effie	ambiguous
sallie	ambiguous
nettie	ambiguous
della	ambiguous
lizzie	ambiguous
flora	ambiguous
susie	ambiguous
maud	ambiguous
mae	ambiguous
etta	ambiguous
harriet	ambiguous
sadie	ambiguous
caroline	ambiguous
katie	ambiguous
lydia	ambiguous
elsie	ambiguous
kate	ambiguous
susan	ambiguous
mollie	ambiguous
alma	ambiguous
addie	ambiguous
georgia	ambiguous
eliza	ambiguous
lulu	female
nannie	ambiguous
lottie	ambiguous
amanda	ambiguous
belle	female
charlotte	ambiguous
rebecca	ambiguous
ruth	ambiguous
viola	ambiguous
olive	ambiguous
amelia	ambiguous
hannah	ambiguous
jane	ambiguous
virginia	ambiguous
emily	ambiguous
matilda	ambiguous
irene	ambiguous
kathryn	ambiguous
esther	ambiguous
willie	ambiguous
henrietta	ambiguous
ollie	ambiguous
amy	ambiguous
rachel	ambiguous
sara	ambiguous
estella	ambiguous
theresa	ambiguous
augusta	ambiguous
ora	ambiguous
pauline	ambiguous
josie	ambiguous
lola	ambiguous
sophia	ambiguous
leona	ambiguous
anne	ambiguous
mildred	ambiguous
ann	ambiguous
beulah	ambiguous
callie	ambiguous
lou	ambiguous
delia	ambiguous
eleanor	ambiguous
barbara	ambiguous
iva	ambiguous
louisa	ambiguous
maria	ambiguous
mayme	female
evelyn	ambiguous
estelle	ambiguous
nina	ambiguous
betty	ambiguous
marion	ambiguous
bettie	ambiguous
dorothy	ambiguous
luella	ambiguous
inez	ambiguous
