numeric,character
1,ett
2,tva
3,tredje
3,trejde
3,tre
4,fjärde
4,fyra
5,femte
5,fem
6,sexte
6,sex
7,sjunde
7,sju
8,attande
8,atta
9,nionde
9,nio
10,tionde
10,tio

