Term
\!
af
aff
aff trycket vthgångit i 
bekonstnadt
bekostnadt
egen
et
förf
förf\.
författare
georg hantsch kongl booktr
hos
^i
ingressu
j
lith
mångas begäran ånyo
med
medh
nu
och
och på mångas begäran ånyo uplagd i
och pö möngas begäran önyo uplagd i
omtryckt
på nytt
på
medh egen bekostnadt
vplagd
printe
printi
recusa
revisa
samma åhr
samma öhr
sic
\\[sic\\]
then konungzlige hufwudstaden
trycht
tryck
trycket
tryckt
tryckte
tryckti
tryckt i
tryct
trykcet
trykkt
trykt
trykte
tryktet
trykti
ttyckt
uplagd
uthi
uti
vplagd och tryckt
vplagdt
vplagdt och
vthgångit
vthgöngit
vthi
vtvi
