Term
Ianuary
Ian\\.
Ian
Ian
Janur\\.
Janur
January
February
Februarii
Febr
March
April
May
June
Iune
July
Iuly
Iulii
August
Aug\\.
Aug
Sept
September
Septembris
October
Octob\\.
Octob
November
Nouembris
Noembris
Novemb
N\\.vemb
N vemb
December
Decemb
Dec

