name;synonyme
st;s\\:t
new;n\\.w
 north ; n rth
north ;$n rth
cambridge ;cantabrigiae
cambridge;cantabrigiae$
massachusetts;massachusettensium
massachusetts;massachusettensis
massachusetts;masschusetts
massachusetts ;massachuset 
 new england; nov anglorum
 new england; nov angliae
 new england; nov anglia  
 new england; n england 
 new england ; nov ang
 new england; nov ang$
cambridge;cantabrigiae
cambridge;cantabrigia
america;americae
new hampshire;newhampshire
new hampshire;newhamphire
;state of
;folkhögskolan
; in the$
 ; et a 
england;engelland
