synonyme	name
Ad[.]	Adolf
Alb[.]	Albert
Alex[.]	Alexander
Alf[.]	Alfred
Alfr[.]	Alfred
And[.]	Anders
Arv[.]	Arvid
Aug[.]	August
Ax[.]	Axel
Bernh[.]	Bernhard
Chr[.]	Christian
Const[.]	Constantin
Dan[.]	Daniel
Edm[.]	Edmund
Edv[.]	Edvard
Efr[.]	Efraim
Em[.]	Emil
Er[.]	Erik
Es[.]	Esaias
Eug[.]	Eugen
Ferd[.]	Ferdinand
Fr[.]	Frederic
Frith[.]	Frithiof
Gottfr[.]	Gottfried
Gust[.]	Gustav
Henr[.]	Henrik
Hj[.]	Hjalmar
Håk[.]	Håkan
Joh[.]	Johan
Jos[.]	Josef
Konr[.]	Konrad
Magn[.]	Magnus
Ol[.]	Olof
Osc[.]	Oscar
Ph[.]	Philip
Phil[.]	Philip
Reinh[.]	Reinhard
Rich[.]	Richard
Rud[.]	Rudolf
Sam[.]	Samuel
Th[.]	Thorvald
Vald[.]	Valdemar
Vict[.]	Victoria
Vilh[.]	Vilhelm
Laur.	Lars
Laurentii[.]	Lars
