name;synonyme
Kansanvalistusseura;kansanvalistusseura
Kansanvalistusseura;kansanvalistus-seura
Johan Christopher Frenckell;joh\. christoph\. frenckell
Lähetysseura;lähetys seura
Weilin & Göös;weilin goos
Weilin & Göös;weilin göös
Weilin & Göös;w ja g
NA;s\.n
Author;tekijä
Author;författare
Author;författaren
Author;förf\.
Author;förf
NA;tuntematon
NA;unknown
NA;anonymous
NA;and
NA;b varias boktryckeri
NA;förbundet
NA;förs
NA;fram
NA;fram, distr
NA;handelstr
NA;handelstryckeriet distr
NA;handelstryckeriet
NA;index
NA;kirjapaino
NA;kustannus oy
NA;utg
NA;utgg
NA;utgifv
NA;utgifvare
NA;utgifvaren
NA;utgifvarena
NA;utgifvarna
NA;utgifvarne
NA;utgivare
NA;utgivaren
NA;utgivarna
