numeric,character
1,one
1,once
2,two
2,twice
3,three
3,third
4,four
4,fourth
5,five
5,fifth
6,six
6,sixth
7,seven
7,seven
8,eight
8,eighth
9,nine
9,ninth
10,ten
10,tenth
11,eleven
12,twelve
13,thirteen
14,fourteen
15,fifteen
16,sixteen
16,6teen
17,seventeen
18,eighteen
18,18een
18,8een
19,nineteen
20,twenty
20,twentieth

