Term	Explanation
yesurun	Mis-spelled bible name
fl	floruit
floruit	floruit
&c	etc
bengal	Asiatic Society of Bengal
attending
this
that
subjects
not
me
jenkinson	COMPANY NAME: Naylor, Jenkinson, and Co. (London, England)
iv
history
hindū
en
and
well
wel
