synonyme	name
^Printed$	NA
printed in the year	NA
Printed in the year	NA
Print	print
e-print	reprint
Reprint	reprint
And 	and
Sold	sold
Publish	publish
By	by
For	for
Imprint	imprint
- published	, published
printed, for	printed for 
printed only for	printed for  
^for	printed for  
^printed for	 printed for  
^by	printed by  
Imprynted by	printed by  
published by	printed by  
printed: and sold by	printed by  
imprinted by	printed by  
printed, and sold by	printed by  
printed and sold by	printed by  
printed : and sold by	printed by  
printed, by	printed by  
^printed by	 printed by  
, printer to the vniversity  NA
s.n.	  NA
S.n.	  NA
s.l.	  NA

