Almeric;männlich
Aloin;männlich
Alois;männlich
Alon;männlich
Alondor;männlich
Alonso;männlich
Alonzo;männlich
Aloyoshenka;männlich
Aloys;männlich
Aloysha;männlich
Aloysius;männlich
Aloïs;männlich
Alp;männlich
Alpaslan;männlich
Alper;männlich
Alphaeus;männlich
Alphard;männlich
Alphons;männlich
Alphonse;männlich
Alphonso;männlich
Alram;männlich
Alric;männlich
Alrigo;männlich
Alrik;männlich
Alston;männlich
Altair;männlich
Altan;männlich
Aluin;männlich
Aluino;männlich
Alva;unspezifisch
Alvah;männlich
Alvan;männlich
Alvaro;männlich
Alvie;männlich
Alvin;männlich
Alvis;männlich
Alvy;unspezifisch
Alvértos;männlich
Alwin;männlich
Alwyn;männlich
Alyosha;männlich
Alékos;männlich
Aléxandros;männlich
Aléxios;männlich
Aléxis;männlich
Amadeo;männlich
Amadeus;männlich
Amadi;männlich
Amado;männlich
Amador;männlich
Amal;männlich
Amaldo;männlich
Amando;männlich
Amandus;männlich
Amardeo;männlich
Amari;unspezifisch
Amariah;männlich
Amarin;männlich
Amarion;männlich
Amato;männlich
Amatus;männlich
Amble;männlich
Ambrogino;männlich
Ambrogio;männlich
Ambroise;männlich
Ambros;männlich
Ambrose;unspezifisch
Ambrosi;männlich
Ambrosio;männlich
Ambrosius;männlich
Amby;männlich
Amerigo;männlich
Amery;männlich
Amiel;männlich
Amin;männlich
Amir;männlich
Amistad;männlich
Amittai;männlich
Ammiel;männlich
Ammon;männlich
Amnon;männlich
Amon;männlich
Amor;männlich
Amory;männlich
Amos;männlich
Amram;männlich
Amsden;männlich
Amédé;männlich
Amédée;männlich
Anacleto;männlich
Anakin;männlich
Anan;männlich
Ananda;männlich
Ananias;männlich
Anastas;männlich
Anastasio;männlich
Anastasios;männlich
Anastasius;männlich
Anastassio;männlich
Anastásios;männlich
Anastásis;männlich
Anath;unspezifisch
Anatol;männlich
Anatole;männlich
Anatoli;männlich
Anatolii;männlich
Anatolij;männlich
Anatollo;männlich
Anaxagoras;männlich
Anaximander;männlich
Anaximenes;männlich
Anaximénis;männlich
Anaxímandros;männlich
Ancel;männlich
Ancell;männlich
Anders;männlich
Anderson;männlich
Andi;unspezifisch
Andie;unspezifisch
Andonis;männlich
Andor;männlich
Andras;männlich
Andre;männlich
Andreas;männlich
Andree;unspezifisch
Andrei;unspezifisch
Andrej;männlich
Andres;männlich
Andreus;männlich
Andrew;männlich
Andrey;männlich
Andries;männlich
Andris;männlich
Androkles;männlich
Androklís;männlich
Andronikus;männlich
Andros;männlich
Andrus;männlich
Andrusha;männlich
Andrya;männlich
Andrzej;männlich
André;männlich
Andréas;männlich
Andrés;männlich
Andríkos;männlich
Andrónikos;männlich
Andy;unspezifisch
Ange;unspezifisch
Angel;unspezifisch
Angeli;männlich
Angelico;männlich
Angell;männlich
Angelo;männlich
Angelus;männlich
Angie;unspezifisch
Angrond;männlich
