name;synonyme;comment
Antwerp;fue la muy noble villa de anuers;
Antwerp;antwerpie p er me gerardum leeu;
Antwerp;anwerpie;
Antwerp;antwerpie;
Antwerp;nuers;
Antwerp;this andwerp;
Appelby-in-Westmorland;appelby westmorland;
Appelby-in-Westmorland;appleby;
Archangelsk;Arhangel sk;
Archangelsk;arhangel'sk';
Archangelsk;arhangel'sk'';
Archangelsk;arhangelsk;
Ashby-de-la-Zouch;ashby de la zouch;
Ashtabula Oh;ashtabula;
Ashtabula Oh;ashtabula ohio;
Askersund;askersundiae;
Astoria Or;astoria;
Astoria Or;astoria ore;
Astoria Or;astoria oregon;
Athlone;athlone ireland;
Augsburg;augustae vindel augsburg;
Augsburg;augustae vindel friburgi brisg;
Augsburg;augustae vind friburg brisg;
Augsburg;vind augsburg;
Augusta;augusta;
Augusta;augustae;
Savannah Ga;georgia;
Augusta Me;augusta district maine;
Augusta Me;augusta kennebeck;
Augusta Me;augusta kennebeck me;
Augusta Me;maine;
Avignon;auenione;
Ayr;aerae;
Ayr;aeris;
Ayr;air;
Ayr;aire;
Ayr;ayr;
Ayr;air scotland;
Ballston Spa NY;ballston ny;
Ballston Spa NY;ballston saratoga county ballston spa ny;
Ballston Spa NY;ballston saratoga county ny;
Baltimore Md;baltimore maryland;
Baltimore Md;baltimore;
Baltimore Md;baltimore town;
Baltimore Md;baltimori;
Baltimore Md;baltimore ma;
Bampton;bampton oxon;
Barkhamsted Ct;barkhamsted;
Barnard Castle;bar hardcastle;
Barnard Castle;barnardcastle;
Barton-upon-Humber;barton on humber;
Barton-upon-Humber;barton upon humber;
Basel;basil;
Basel;basileae;
Basel;basle;
Basel;basil paris;
Basseterre Saint Kitts;Basseterre st christopher s;
Basseterre Saint Kitts;basseterre st christopher e st kitts nevis
Basseterre Saint Kitts;basse terre guadeloupe;
Basseterre Saint Kitts;basseterre st christophers;
Basseterre Saint Kitts;basseterre in st christopher s st kitts nevis;
Basseterre Saint Kitts;basseterre st christopher s st kitts nevis;
Basseterre Saint Kitts;guadaloupe;
Basseterre Saint Kitts;la basse terre;
Basseterre Saint Kitts;saint christopher;
Basseterre Saint Kitts;basseterre in st christopher;
Basseterre Saint Kitts;basseterre in st christophers st kitts nevis;
Basseterre Saint Kitts;basseterre st christopher;
Basseterre Saint Kitts;basseterre st christophers st kitts nevis;
Basseterre Saint Kitts;basseterre st christopher st kitts nevis;
Basseterre Saint Kitts;st christopher;
Basseterre Saint Kitts;st kitts nevis;
Basseterre Saint Kitts;st christophers;
Bastia;bastia corsica;
Bath;bath\;
Bath;bathoniae;
Bath;bath england;
Bath NY;bath county of steuben new york;
Bath NY;bath county steuben state new york;
Bedford Ma;bedford mass;
Bedford Ma;bedford massachusetts;
Belfast;bel fast;
Belfast;belfastiensi;
Belfast;belfast ireland;
Belfast;belfast northern ireland;
Bennington Vt;bennington;
Bennington Vt;bennington vermont;
Bennington Vt;benning ton vt;
Bennington Vt;vermont bennington;
Bennington Vt;bennington rutland vermont;
Bergen;bergen stockholm kjobenhavn;
Berkhamsted;berkhamsed;
Berlin;berliini;
Berlin;berlin';
Berlin;berlin berlin;
Berlin;berlin' berlin;
Berlin;berlin charlottenburg;
Berlin;berlin grunewald;
Berlin;berlin leipzig;
Berlin;berlin und stettin;
Bern;berna;
Bern;berne;
Berwick-upon-Tweed;berwick england;
Berwick-upon-Tweed;berwick;
Berwick-upon-Tweed;berwick on tweed;
Berwick-upon-Tweed;berwick upon tweed;
Besançon;besanc̜on;
Bethlehem Pa;bey bethlehem pa fork dellawar;
Birmingham;birm ingham;
Birmingham;birminghamae;
Birmingham;birmingham england;
Birmingham;birminghamiae;
Birmingham;birminghamiae;
Birmingham;brimingham;
Bishop's Castle;bishops castle;
Bishopstone;bishopstone sussex;
Bishopstone;sussex;
Blackwell;blackwell grange;
Blandford;blandford;Blandford Forum/Blandford Va
Blandford Forum;blandford forum;
Blandford Va;blandford va;
Bodedern;bodedern or bala;
Bödingen;buedingen;
Bologna;bononiae;
Bologna;bovlongne;
Bombay;bombay india;
Bontfaen;cowbridge;
Boston Ma;mass;
Boston Ma;Mass england;
Boston Ma;bostn;
Boston Ma;bosto n;
Boston Ma;boston;
Boston Ma;bostoniae;
Boston Ma;bostonut;
Boston Ma;america boston;
Boston Ma;america ie boston;
Boston Ma;bay state boston;
Boston Ma;bostonae nov anglorum;
Boston Ma;bostonae nov anglorum;
Boston Ma;boston america;
Boston Ma;boston cambridge mass;
Boston Ma;boston commonwealth of massachusetts;
Boston Ma;bostoniae america;
Boston Ma;bostoniae america;
Boston Ma;bostoni aelig;
Boston Ma;bostoniae nov ang;
Boston Ma;bostoni massachusettensium;
Boston Ma;boston in america;
Boston Ma;boston in n eaboston ma;
Boston Ma;boston in new england;
Boston Ma;boston in new england and london;
Boston Ma;bostoni nov anglorum;
Boston Ma;bostoni nov anglorum mdccxxxiii;
Boston Ma;boston lincs;
Boston Ma;boston mass;
Boston Ma;boston massachusetts;
Boston Ma;boston n e mass;
Boston Ma;boston new england;
Boston Ma;boston new england london;
Boston Ma;boston north america;
Boston Ma;massachuset;
Boston Ma;massachuset boston;
Boston Ma;massachusetts;
Boston Ma;massachusetts boston;
Boston Ma;massachusetts state boston;
Boston Ma;masschuset boston;
Boston Ma;masschusetts;
Boston Ma;masschusetts boston;
Boston Ma;new england;
Boston Ma;state massachusetts bay boston;
Boston Ma;state of massachusetts bay boston;
Charlottetown;charlotte town island saint john;
Charlottetown;charlotte town;
Charlottetown;charlottetown;
Charleston SC;charleston;
Charleston SC;charleston south carolina;
Charleston SC;charles town;
Charleston SC;charlestown;
Charleston SC;charles town sc;
Charleston SC;charlestown sc;
Charleston SC;charles town south carolina;
Charleston SC;charlestown south carolina;
Charleston SC;charlestown state south carolina;
Charleston SC;charlston sc;
Charleston SC;south carolina;
Charleston SC;south carolina charlestown;
Charleston SC;south carolina charles town;
Charleston SC;south carolina charles town sc;
Boston Ma;charlestown ma;This really is in Boston and different from Charlestown
Boston Ma;charlestown mass;This really is in Boston and different from Charlestown
Boston Ma;charlestown massachusetts;This really is in Boston and different from Charlestown
Boston Ma;charlestown charleston;This really is in Boston and different from Charlestown
Boston Ma;charleston mass;This really is in Boston and different from Charlestown/Charleston
Boston Ma;massachusetts charlestown;This is in Boston and different from Charlestown/Charleston
Boston Ma;america massachusetts boston;
Boston Ma;boston philadelphia;
Boston Ma;boston muenchen;
Boston Ma;boston massachuset;
Boston Ma;boston london;
Boston Ma;england boston;
Boston Ma;bostoniae boston;
Boston Ma;america england boston;
Bradford;bradforth;
Braniewo;brunnsvik;
Braniewo;brvnsbergae;
Braniewo;brvnsvigae;
Brattleboro Vt;brattleborough vermont;
Brattleboro Vt;brattleboro vermont;
Bremen;bremae;
Bremen;bremen london;
Brentford;brentford england;
Bridgeport Ct;bridgeport;
Bridgeport Ct;bridgeport conn;
Bridgeport Ct;bridgeport connecticut;
Bridgetown;bridge town;
Bridgetown;bridgetown barbados;
Bridgetown;barbados bridgetown;
Bridgetown;barbadoes;
Bridgetown;barbados;
Bridgetown;bridge town barbados;
Bridgewater Ma;bridgewater;
Bridgewater Ma;bridgwater;
